LUT7,LUT6,LUT5,LUT4,LUT3,MEM64,MEM32,MEM16,Regs,DSPs,BRAM,Routing BRAM,Routing LUTs,Fanout Regs,Unavail. ALMs,Impl. ALMs,Needed ALMs
460,9454,12276,11098,140311,4554,54,384,352469,0,387,49,102350,8433,535,194305,146431
459,9484,12233,11098,258573,4554,54,384,629468,0,387,49,99878,5906,583,229870,202267
473,9570,12390,11130,22216,4619,519,559,76211,0,338,0,21292,3681,552,57160,47419
468,9650,13061,11620,22304,4619,519,559,77608,0,338,0,21431,3917,519,57160,47419
473,9858,13756,12203,22275,4619,519,559,80000,0,338,0,21764,4046,553,59373,49516
401,9965,14068,12631,20196,4619,519,559,83921,0,338,0,26280,4388,624,62837,50882
468,9650,13061,11620,22304,4619,519,559,77608,0,338,0,21398,3791,503,58185,48223
473,9858,13756,12203,22275,4619,519,559,80000,0,338,0,21609,3980,592,59376,49542
401,9965,14068,12631,20194,4619,519,559,83921,0,388,50,25748,4275,621,61672,50887
413,9359,15579,12713,24144,4619,519,559,92323,0,338,0,29186,4219,747,65589,54436
407,9776,18876,13596,28667,4619,519,559,108873,0,338,0,35727,4161,912,77060,61758
465,11068,25664,14780,45652,4619,519,559,141974,0,338,0,37098,5384,751,95639,75874
469,9468,12238,11133,22222,4619,519,559,75569,0,338,0,21251,3714,518,57231,47122
469,9486,12357,11171,22411,4619,519,559,75972,0,338,0,20864,3692,533,57270,47865
467,9583,12390,11236,22854,4619,519,559,76479,0,338,0,21111,3705,607,57270,47865
472,9626,12585,11444,23440,4619,519,559,77777,0,338,0,21724,3715,601,58637,48507
413,9298,12794,11974,21689,4619,519,559,78796,0,338,0,24191,3869,755,58402,49115
471,9443,12229,11187,22166,4619,519,559,75503,0,338,0,21492,3607,550,56752,47154
477,9452,12250,11208,22188,4619,519,559,75530,0,338,0,21363,3733,523,57046,47180
470,9604,12227,11287,22163,4619,519,559,75939,0,338,0,21262,3891,987,57112,47858
436,9023,12592,12023,19825,4619,519,559,76094,0,338,0,24127,3664,1449,57022,48494
418,9183,12818,12128,20040,4619,519,559,76394,0,338,0,24048,3765,2415,57439,49849
475,9131,12910,12161,20211,4619,519,559,76258,0,338,0,24207,3826,2955,57558,50510
471,9443,12229,11187,22166,4619,519,559,75503,0,338,0,21492,3607,550,56752,47154
473,9444,12278,11137,22191,4619,519,559,75800,0,338,0,21064,3620,510,56674,47153
473,9463,12210,11225,22240,4619,519,559,75813,0,338,0,21057,3805,480,56658,47210
482,9498,12311,11250,22186,4619,519,559,75841,0,338,0,21119,3631,507,56793,47344
474,9600,12336,11227,22196,4619,519,559,75864,0,338,0,21246,3851,503,56912,47428
